objectID,userID,objectType,classification,completeness,quantity,broadperiod,periodo,rightCorner,collection,museumID,collectionIdentifier,museumCollection,site,stolenStatus,hoard,discoveryContext,parish,district,country,county,toSearch,fourFigureLat,fourFigureLon,gridRef,dateDiscoveryDay,dateDiscoveryMonth,dateDiscoveryYear,length,width,edge,weight,patina,surface,thickness,other,composition,associations,description,publications,remarks,inputBy,thumbnail,imageURL,flickrURL,Processing,project
BAI-29142,727,Dagger,Incised Ogival,,NA,Bronze Age,p0gjgrs6qb2,Ogival,"Devizes Museum, Stowhead Coll = 126",126,,Devizes Museum,"England, S. Wiltshire, Wilsford-by-Salisbury, Normanton, Salisbury Plain, Barrow 164 (Hoare)",,,barrow,Wilsford-by-salisbury,,England,Wiltshire,"Wiltshire, UK",51.25,-1.916667,,NA,NA,NA,145,-,,83.27,,,,"Lower left corner: ""Seen""",,in Barrow 164 (Hoare),"Weight as: ""2 15/16 oz = 92 gr"" ,  My calculation is: 2.9375 oz = 83.27 gr., 3 rivets-2 intact.  Stout centre with 3 parallel lines.  Unburnt burial under bell-shaped Barrow","An=Wilts. 1.205., Devizes Museum Catalogur = P […] 1.126, DM 1069 […] 351",,Marla Walcott,https://farm8.staticflickr.com/7552/16291801821_a3ce307ccb_q.jpg,https://farm8.staticflickr.com/7552/16291801821_a3ce307ccb_b.jpg,https://www.flickr.com/photos/MicroPasts/16291801821,most detailed record,devizes
BAI-29007,433,Dagger,,,NA,Bronze Age,p0gjgrs6qb2,,"Dorchester Museum, 1934.37.2",1934.37.2,,Dorchester Museum,"England,Dorset,Winterborne St. Martin,Martinstown, South of,Barrow 4.50a,'ploughed out of a barrow' (a); unlocated barrow (b)",,,"barrow, farm",Winterborne St. Martin,,England,Dorset,"Martinstown, Dorchester, Dorset Dt2, UK",50.699426,-2.502745,c. SY 64 87,NA,NA,NA,,,,,,,,,,8. Single Find possibly from barrow,,"a) Gerloff 1975, 105 no. 178, pl. 17,b) Grinsell 1959, 154 no. 50a,c) Newall 1931, 450 no. 23,d) Ap Simon 1934, 58, no. 12",PIF (0); DF(C); SI; CI; SN Jan 81; Source: MV,Joellen McGann,https://farm8.staticflickr.com/7511/16266090832_279f9d712c_q.jpg,https://farm8.staticflickr.com/7511/16266090832_279f9d712c_b.jpg,https://www.flickr.com/photos/MicroPasts/16266090832,superuser,dirkspart2
BAI-28364,433,Dagger,,,NA,Bronze Age,p0gjgrs6qb2,,"Dorchester Museum, 1903.2.1",1903.2.1,,Dorchester Museum,"England,Dorset,Winterbourne St. Martin,Martinstown Barrow G46",,,barrow,Winterborne St. Martin,,England,Dorset,"Martinstown, Dorchester, Dorset Dt2, UK",50.699426,-2.502745,SY 6465 8780,NA,NA,NA,141,,,,,,,,,2a. Grave Group,,"Gerleff, 1975, 102 no. 165.","PI, AFI, CI, SI, DF(C)",Joellen McGann,https://farm8.staticflickr.com/7544/16048775651_4e3d8dfacb_q.jpg,https://farm8.staticflickr.com/7544/16048775651_4e3d8dfacb_b.jpg,https://www.flickr.com/photos/MicroPasts/16048775651,superuser,drawA10
BAI-28369,433,Dagger,,,NA,Bronze Age,p0gjgrs6qb2,,"Dorchester Museum, 1885.16.3,Presented by the Hon. Dawson Damer",1885.16.3,,Dorchester Museum,"England,Dorset,Winterbourne Came,Barrow G38",,,,Winterbourne Came,,England,Dorset,"Winterborne Came, Dorchester, Dorset Dt2, UK",50.6950086,-2.4177868,c. SY 70 88,NA,NA,NA,,,,,,,,,,7b. Group (2b. Grave?) (This implement very dubiosly associated the group.),,"Newall, 1931, 449, no. 14,Gerloff 1975, 80 no. 143, pl. 13,Moule 1900, 57 Br. 34",PI; AFI; CI; SI,Joellen McGann,https://farm8.staticflickr.com/7535/15864971817_e6d96e78b3_q.jpg,https://farm8.staticflickr.com/7535/15864971817_e6d96e78b3_b.jpg,https://www.flickr.com/photos/MicroPasts/15864971817,superuser,drawA10
BAI-28368,433,Dagger,Bush Barrow Incised,,NA,Bronze Age,p0gjgrs6qb2,B.B.,"Dorchester Museum, 34,Given by the Hon. Mrs. Dawson Damer,1885.163",341885.163,,Dorchester Museum,"England,Dorset,Winterbourne Came,From Barrow as west end of the South Plantation.",,,barrow,Winterbourne Came,,England,Dorset,"Winterborne Came, Dorchester, Dorset Dt2, UK",50.6950086,-2.4177868,,NA,NA,NA,236,54,,,,,,,,,Broken at centre.,,,Joellen McGann,https://farm8.staticflickr.com/7524/15864688999_1d3e156fb3_q.jpg,https://farm8.staticflickr.com/7524/15864688999_1d3e156fb3_b.jpg,https://www.flickr.com/photos/MicroPasts/15864688999,superuser,drawA10
BAI-28367,433,Dagger,,,NA,Bronze Age,p0gjgrs6qb2,,"Dorchester Museum, 1846.2.2",1846.2.2,,Dorchester Museum,"England,Dorset,Winterbourne Came,Barrow G38",,,,Winterbourne Came,,England,Dorset,"Winterborne Came, Dorchester, Dorset Dt2, UK",50.6950086,-2.4177868,c. SY 70 88,NA,NA,NA,,,,,,,,,,7b. Group/(2b Grave?),,"Arch. Journ. V, 1848, 323, & fig. opp.,Gerloff, 1975, 104, no. 174, pl. 17,Newall, 1931, 449, no. 10,Moule, 1900, 56 Br. 30",PI; AFI; CI; SI,Joellen McGann,https://farm9.staticflickr.com/8566/15863450180_070b93af3d_q.jpg,https://farm9.staticflickr.com/8566/15863450180_070b93af3d_b.jpg,https://www.flickr.com/photos/MicroPasts/15863450180,superuser,drawA10
BAI-29132,433,Dagger,Incised Ogival Dagger Rivetted,,NA,Bronze Age,p0gjgrs6qb2,Ogival,"Devizes Museum,Stourhead Collection = 21",21,,Devizes Museum,"England,Wiltshire,Winterbourne Stoke,Barrow 15 (Hoare)",,,barrow,Winterbourne Stoke,,England,Wiltshire,"Winterbourne Stoke, Salisbury, Wiltshire Sp3, UK",51.17981665,-1.87361949330862,,NA,NA,NA,218,72,,247,,,,"Weight: 7 13/16 oz. = 247 gms [?possibly incorrect, my calculation shows 221.48 gms]",,Burnt burial in barrow 15 (Hoare) with another Rivetted Dagger.,Decorated with 4 lines along blade and centre pounced with dots.,"An. Wilts, I., 122, Pl. XIV,Devizes Museum Cat. Pt. I, 21,Evans, ""Bronzes"" 302, fig.,DM 1027; GC 220",Seen,Joellen McGann,https://farm9.staticflickr.com/8577/15671181014_3acbb2d368_q.jpg,https://farm9.staticflickr.com/8577/15671181014_3acbb2d368_b.jpg,https://www.flickr.com/photos/MicroPasts/15671181014,superuser,devizes
BAI-29122,433,Dagger,Incised (?) riveted Bush Barrow,,NA,Bronze Age,p0gjgrs6qb2,B.B.,"Devizes Museum,Stowhead Collection 24",24,,Devizes Museum,"England,S. Wiltshire,Winterbourne Stoke,Barrow 1b (Hoare)",,,,Winterbourne Stoke,,England,Wiltshire,"Winterbourne Stoke, Salisbury, Wiltshire Sp3, UK",51.17981665,-1.87361949330862,,NA,NA,NA,205,49,,111.63,,,,Weight: 3 15/16 oz. = .723 [Uncertain what this means - but 3 15/16 oz. = 111.63 gms],,Unburnt burial in barrow 1b (Hoare). Another Rivetted Dagger.,"4 rivet holes broken away, bevelled edges, two lines following contour.","An. Wilts. I, 123, Pl. XV.2.,Devizes Museum Cat. Pt I,24,DM 929;GC 263",,Joellen McGann,https://farm8.staticflickr.com/7520/15673718973_f10872721e_q.jpg,https://farm8.staticflickr.com/7520/15673718973_f10872721e_b.jpg,https://www.flickr.com/photos/MicroPasts/15673718973,superuser,devizes
BAI-29121,433,Dagger,Rivetted Incised (?) Bush Barrow Dagger,,NA,Bronze Age,p0gjgrs6qb2,BB,"Devizes Museum,Stourhead Collection 23",23,,Devizes Museum,"England,Wiltshire,Winterbourne Stoke,Barrow 16 (Hoare)",,,barrow,Winterbourne Stoke,,England,Wiltshire,"Winterbourne Stoke, Salisbury, Wiltshire Sp3, UK",51.17981665,-1.87361949330862,,NA,NA,NA,215,66,,141,,,,Weight: 4 1/2 oz.=141 [? 4.5 oz. comes to 127.57 gms],,Unburnt burial in barrow 16 (Hoare); Another Rivetted Dagger,"Remains of wooden sheath adhering. 4 rivets, 2 intact.","Ans. Wilts. I, 123, Pl. XV, 2,Evans, Ancient Bronze Implements, 241,Devizes Museum Pat. Pt. I, 23,DM 932, GC 266",Seen,Joellen McGann,https://farm8.staticflickr.com/7556/16106054288_66cb3c4f18_q.jpg,https://farm8.staticflickr.com/7556/16106054288_66cb3c4f18_b.jpg,https://www.flickr.com/photos/MicroPasts/16106054288,superuser,devizes
BAI-28549,433,Dagger,Bush Barrow,,1,Bronze Age,p0gjgrs6qb2,BB,"Winchester City Museum,Given by Mr. J. Arthur Rank.",,,Winchester City Museum,"England,Hampshire,Wonston,Cranbourne Clump,Found on the surface of the south side of the eastern of two barrows there in January 1955.",,,barrow,Wonston,Winchester,England,Hampshire,"Wonston, Winchester, Hampshire So21, UK",51.1525161,-1.3257885,,NA,1,1955,184.15,69.85,,184.272,Dark green.,Rough with some corrosion.,6.35,"Length: 7 1/4"" = 184.15mm,Width: 2 3/4"" = 69.85mm,Thickness: 1/4"" = 6.35mm,Weight: 6 1/2 oz = 184.272 gms",,,Has six rivets and three grooves running around the perimeter.,"Hampshire Observer, 13/8/55",,Joellen McGann,https://farm8.staticflickr.com/7496/15864988947_61df355f29_q.jpg,https://farm8.staticflickr.com/7496/15864988947_61df355f29_b.jpg,https://www.flickr.com/photos/MicroPasts/15864988947,superuser,drawA10
