objectID,userID,objectType,classification,completeness,quantity,broadperiod,periodo,rightCorner,collection,museumID,collectionIdentifier,museumCollection,site,stolenStatus,hoard,discoveryContext,parish,district,country,county,toSearch,fourFigureLat,fourFigureLon,gridRef,dateDiscoveryDay,dateDiscoveryMonth,dateDiscoveryYear,length,width,edge,weight,patina,surface,thickness,other,composition,associations,description,publications,remarks,inputBy,thumbnail,imageURL,flickrURL,Processing,project
BAI-19640,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,T3,"Penzance Museum,Given by J. Hallet Batten Esq.,From the Collection of the Rev. Joe Batten.",,,Penzance Museum,"England,Cornwall",,,,,,England,Cornwall,"Cornwall, UK",50.416667,-4.75,,NA,NA,NA,127,,40,,Green patina with brown underneath,"Smooth, pitted on one face.",,,,,Upper rim of socket damaged in parts recently.,,"?Part of Carn Brea hoard, the rest of which are in the Ashmolean Museum, Oxford.",Joellen McGann,https://farm6.staticflickr.com/5605/14979504303_b21c966a55_q.jpg,https://farm6.staticflickr.com/5605/14979504303_b21c966a55_b.jpg,https://www.flickr.com/photos/MicroPasts/14979504303,superuser,drawerA5A6
BAI-19638,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,SI2,"Private Collection,1923,Sir William Ridgeway,Now in Cambridge Arch. Museum",,,Private Collection,"England,Cornwall",,,,,,England,Cornwall,"Cornwall, UK",50.416667,-4.75,,NA,NA,NA,60,36,47,326,Light brown in patches,Rough dark brown,31,"Width: edge 46.5mm; socket 35.5mm,Thickness: socket 30.5mm,Weight: 326.02 gms",,,,,,Joellen McGann,https://farm6.staticflickr.com/5611/15414061520_77bcf8cc47_q.jpg,https://farm6.staticflickr.com/5611/15414061520_77bcf8cc47_b.jpg,https://www.flickr.com/photos/MicroPasts/15414061520,superuser,drawerA5A6
BAI-19644,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,UII2,"June 1936,Mr. A. G. Ravening,60 Holland Park Mews, W.II,(Who is trying to sell it to Truro Museum)",,,Truro Museum,"England,Cornwall,Doddington Point,Found (June 1936) on beach at Doddington Point",,,,,,England,Cornwall,"Cornwall, UK",50.416667,-4.75,,NA,6,1936,110,51,,294,"On one side, very dark patina (almost black), with traces of golden bronze colour, and of green near edge. On the other green and brown mottled.",Smooth and in very good condition.,43,,,,"Apparently a rough casting; mouth of socket is uneven; mould marks very prominent and sharp, and have not been reduced by filing. Edge blunt and unground. Piece of waste metal left inside loop.",,,Joellen McGann,https://farm4.staticflickr.com/3952/14979504213_5b162e4089_q.jpg,https://farm4.staticflickr.com/3952/14979504213_5b162e4089_b.jpg,https://www.flickr.com/photos/MicroPasts/14979504213,superuser,drawerA5A6
BAI-19766,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,UII3,"Pitt Rivers Museum, Farnham,The curator has 4 from Portland but says these are not included.",,,Pitt Rivers Museum,"England,Dorsetshire,Portland Island",,,,,,England,Dorset,Portland,50.547529,-2.434339,,NA,NA,NA,107,28,44,85,Dull green,Rough,27,Weight: 85.05 gms,,,Edge indented.,,,Joellen McGann,https://farm6.staticflickr.com/5614/14979498703_10d0a81830_q.jpg,https://farm6.staticflickr.com/5614/14979498703_10d0a81830_b.jpg,https://www.flickr.com/photos/MicroPasts/14979498703,superuser,drawerA5A6
BAI-19765,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,UII3,"Blandford,Pitt-Rivers Museum, Farnham,The curator has 4 from Portland but says these are not included.",,,Pitt Rivers Museum,"England,Dorsetshire,Portland Island",,,,,,England,Dorset,Portland,50.547529,-2.434339,,NA,NA,NA,103,29,48,113,Black and dull green,Rough,32,Weight: 113.39 gms,,,,,,Joellen McGann,https://farm4.staticflickr.com/3952/15414055990_ac83a2ff5f_q.jpg,https://farm4.staticflickr.com/3952/15414055990_ac83a2ff5f_b.jpg,https://www.flickr.com/photos/MicroPasts/15414055990,superuser,drawerA5A6
BAI-4942,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,,"Blackmoor Museum,17 on face,WB 18 on side",17 WB18,,Blackmoor Museum,"France,nord pas-de-calais,pas de calais,boulogne sur mer,18 may 1857",,,,,,France,,Boulogne Sur Mer,50.7259985,1.6118771,,18,5,1857,74,19,26,80,dark green,,23,"Width: edge 26mm; socket 19mm,Thickness: socket 23mm,Weight: 79.95 gms",,,Two indistince pellets on each face.,,,Joellen McGann,https://farm8.staticflickr.com/7353/13306546313_1f25d168d2_q.jpg,https://farm8.staticflickr.com/7353/13306546313_1f25d168d2_b.jpg,http://www.flickr.com/photos/MicroPasts/13306546313,superuser,drawB8
BAI-19716,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,T2,"Cambridge Museum, 23/1556,Redfern Collection,ex-Collection the Earl of Egremont",23/1556,,MAA Cambridge,"England,Devonshire,exact site unknown",,,,,,England,Devon,"Devon, UK",50.7772,-3.9995,,NA,NA,NA,76,17,26,92,Dirty brownish green.,,22,Weight: 92.13 gms,,,Edge blunt,,,Joellen McGann,https://farm4.staticflickr.com/3935/15413042989_986dcf0e79_q.jpg,https://farm4.staticflickr.com/3935/15413042989_986dcf0e79_b.jpg,https://www.flickr.com/photos/MicroPasts/15413042989,superuser,drawerA5A6
BAI-19734,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,MII3,Herts. Cty. Mus. St. Albans,,,Hertfordshire County Museum,"England,Dorsetshire",,,,,,England,Dorset,"Dorset, UK",50.79683685,-2.34473226124306,,NA,NA,NA,103,29,46,120,No patina.,Very encrusted. Grey + green.,28,Weight: 120.47 gms,,,,,,Joellen McGann,https://farm6.staticflickr.com/5608/15575985456_8589bed32e_q.jpg,https://farm6.staticflickr.com/5608/15575985456_8589bed32e_b.jpg,https://www.flickr.com/photos/MicroPasts/15575985456,superuser,drawerA5A6
BAI-19750,580,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,,"Dorchester Museum, 270 [H], Hall Collection.",270[H].,,Dorchester Museum,Exact locality unknown.,,,,,,England,,,50.8569,-2.1654,,NA,NA,NA,100,"edge 54, socket 31",,,Tinny patina.,,socket 33,,,,Very thin.,,,Denis Antoine,https://farm6.staticflickr.com/5601/15596997741_9482afcee3_q.jpg,https://farm6.staticflickr.com/5601/15596997741_9482afcee3_b.jpg,https://www.flickr.com/photos/MicroPasts/15596997741,superuser,drawerA5A6
BAI-21371,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,T2,"Messrs. B. B. + B.W.J. Kent, 1919,Tatefield Hall, Beckwithshaw, Harrogate,Bought of Fenton, Cranbourne St., London",,,Private Collection,"England,Sussex,(Locality unknown)",,,,,,England,West Sussex,"West Sussex, UK",50.928,-0.4617,,NA,NA,NA,124,37,33,265,Greenish,,30,Width: edge 33mm; socket 36.5mm,,,Long narrow blade of rectangular section. Cutting edge much corroded and probably never been sharpened.,,,Joellen McGann,https://farm4.staticflickr.com/3939/15414265798_3e54c8cdb8_q.jpg,https://farm4.staticflickr.com/3939/15414265798_3e54c8cdb8_b.jpg,https://www.flickr.com/photos/MicroPasts/15414265798,superuser,drawerA5A6
BAI-21369,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,T3,"Alnwick Castle, No. 226",226,,Alnwick Castle,"England,Sussex,1845",,,,,,England,West Sussex,"West Sussex, UK",50.94458445,-0.527847701286266,,NA,NA,1845,78,18,28,,whitish green patina,Very corroded,78,Weight: 77.9 gms,,Probably with socketed celt 225,,"Collection Sussex Arch. Soc., Vol. II, p. 260",,Joellen McGann,https://farm4.staticflickr.com/3932/14979636344_0986f5d4f2_q.jpg,https://farm4.staticflickr.com/3932/14979636344_0986f5d4f2_b.jpg,https://www.flickr.com/photos/MicroPasts/14979636344,superuser,drawerA5A6
BAI-21368,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,UII2,"Alnwick Castle, No. 225",225,,Alnwick Castle,"England,Sussex",,,,,,England,West Sussex,"West Sussex, UK",50.94458445,-0.527847701286266,,NA,NA,NA,102,32,44,,Dark brown,Smooth,300,"Width: edge 44mm; centre 38mm; socket 32mm,Weight: 299.98 gms",,Probably with no. 226 (socketed celt).,,,,Joellen McGann,https://farm4.staticflickr.com/3938/15601210152_29b167a4c0_q.jpg,https://farm4.staticflickr.com/3938/15601210152_29b167a4c0_b.jpg,https://www.flickr.com/photos/MicroPasts/15601210152,superuser,drawerA5A6
BAI-20223,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,SII1,"Herts County Museum, St. Albans,Lent by Capt. J. H. Ball, RAF,80",RAF80,,Hertfordshire County Museum,"England,Hampshire",,,,,,England,Hampshire,"Hampshire,",51.04483545,-1.24340935971731,,NA,NA,NA,65,36,46,99,Dark browny green and remains of dark brown on one side.,Smooth. Tiny pittings nearly all over.,36,"Length: 64.5mm,Width: edge 45.5mm; socket 36mm,Thickness: socket 35.5mm,Weight: 98.7 gms",,,"The decoration as shown in sketch, does not show so clearly actually, the thick dark brown patina obscures it, and on one side it is very indistinct.",,,Joellen McGann,https://farm6.staticflickr.com/5598/15413600618_8235615cf0_q.jpg,https://farm6.staticflickr.com/5598/15413600618_8235615cf0_b.jpg,https://www.flickr.com/photos/MicroPasts/15413600618,superuser,drawerA5A6
BAI-21123,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,MII2,"Hull Museum, No. 16",16,,Hull Municipal Museum,"England,Somerset,Exact locality unknown",,,,,,England,Somerset,"Somerset, UK",51.0587,-2.9499,,NA,NA,NA,67,41,35,140,,,28,,Bronze,,"In the rough state, with four runners on the top of the butt; not hammered or cleaned up.","Figured in the Hull Museum Quarterly Records, No. 83",,Joellen McGann,https://farm4.staticflickr.com/3942/15601076182_dba932bf08_q.jpg,https://farm4.staticflickr.com/3942/15601076182_dba932bf08_b.jpg,https://www.flickr.com/photos/MicroPasts/15601076182,superuser,drawerA5A6
BAI-21766,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,A3,"Herts County Museum, St. Albans,Lent by Capt. J. H. Bell, RAF,77",RAF77,,Hertfordshire County Museum,"England,Wiltshire,Salisbury Plain",,,,,,England,Wiltshire,"Salisbury, Salisbury, Wiltshire, UK",51.0705706,-1.8064141,,NA,NA,NA,126,31,27,202,Thick dark green polished. Some is cleaned off near the edge where golden bronze shows.,Smooth,29,"Width; edge 27 1/3mm; socket 31mm,Thickness: socket 29 1/4mm,Weight: 201.98 gms",,,,,,Joellen McGann,https://farm4.staticflickr.com/3950/15600326115_11321b5b4a_q.jpg,https://farm4.staticflickr.com/3950/15600326115_11321b5b4a_b.jpg,https://www.flickr.com/photos/MicroPasts/15600326115,superuser,drawerA5A6
BAI-21125,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,M-2 frag,"Somerset, Taunton Castle Museum, 18,Stradling Collection,Purchased 1902",18,,Somerset County Museum,"England,Somerset",,,,,,England,Somerset,"Somerset, UK",51.16175085,-3.07538670622275,,NA,NA,NA,,37,,,,,37,,,,,"Proc. Som. A. + NHS, XLVIII, part I, p. 83.",,Joellen McGann,https://farm4.staticflickr.com/3946/15601076022_60eb713037_q.jpg,https://farm4.staticflickr.com/3946/15601076022_60eb713037_b.jpg,https://www.flickr.com/photos/MicroPasts/15601076022,superuser,drawerA5A6
BAI-21124,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,MII2,"Taunton Castle Museum,Stradling Collection, Purchased 1902",,,Taunton Castle Museum,"England,Somerset",,,,,,England,Somerset,"Somerset, UK",51.16175085,-3.07538670622275,,NA,NA,NA,88,38,49,253,,,38,Weight: 252.5 gms,,,,"Proc. Som. A. + NHS, LXII, page Ixi",,Joellen McGann,https://farm4.staticflickr.com/3936/14979501774_9fcc03d4fc_q.jpg,https://farm4.staticflickr.com/3936/14979501774_9fcc03d4fc_b.jpg,https://www.flickr.com/photos/MicroPasts/14979501774,superuser,drawerA5A6
BAI-21122,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,LII3,"Bishop Collection, B33,The University, Glasgow",B33,,"The University, Glasgow","England,Somerset",,,,,,England,Somerset,"Somerset, UK",51.16175085,-3.07538670622275,,NA,NA,NA,90,49,46,207,,Encrusted all over.,39,"Length: 89.5mm,Width: edge 45.5mm; socket 49mm,Weight: 206.7 gms",,,,,,Joellen McGann,https://farm4.staticflickr.com/3941/15601076382_737c076b4f_q.jpg,https://farm4.staticflickr.com/3941/15601076382_737c076b4f_b.jpg,https://www.flickr.com/photos/MicroPasts/15601076382,superuser,drawerA5A6
BAI-4964,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,,"Pitt Rivers Museum, Oxford,1457",1457,,Pitt Rivers Museum,germany,,,,,,Germany,,Germany,51.1638175,10.4478313,,NA,NA,NA,127,36,34,,,smooth,36,"Site: unspecified location in Germany - geolocation not accurate to 10 kms,Width; edge 34mm; socket 36mm,Thickness: socket 36mm",,,Well cast. Not much worn.,,,Joellen McGann,https://farm8.staticflickr.com/7319/13306747114_36e3d61eb5_q.jpg,https://farm8.staticflickr.com/7319/13306747114_36e3d61eb5_b.jpg,http://www.flickr.com/photos/MicroPasts/13306747114,superuser,drawB8
BAI-20614,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,UIII2,"Hull Museum, 141",141,,Hull Municipal Museum,"England,Kent",,,,,,England,Kent,"Kent, UK",51.20707485,0.721036181340144,,NA,NA,NA,99,37,40,227,Dark green.,,38,Weight: 226.8 gms,,,Prominent cast marks. Good condition. Edge bruised.,,,Joellen McGann,https://farm4.staticflickr.com/3940/15413376609_a9d4ab228a_q.jpg,https://farm4.staticflickr.com/3940/15413376609_a9d4ab228a_b.jpg,https://www.flickr.com/photos/MicroPasts/15413376609,superuser,drawerA5A6
BAI-20615,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,t3,"Letchworth Museum,Pres. by Mr. F. J. Bennett",,,Letchworth Museum,"England,Kent",,,,,,England,Kent,"Kent, UK",51.20707485,0.721036181340144,,NA,NA,NA,133,35,34,259,No patina except for a little on the rim.,,39,Weight: 259.2 gms,,,Edge worn thin and is filled with putty or wax. In good preservation.,,Brittany type - probably imported.,Joellen McGann,https://farm4.staticflickr.com/3940/15414397910_2970cfb3c1_q.jpg,https://farm4.staticflickr.com/3940/15414397910_2970cfb3c1_b.jpg,https://www.flickr.com/photos/MicroPasts/15414397910,superuser,drawerA5A6
BAI-20613,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,UIII3,"Blandford, Pitt Rivers,Farnham Museum, Dorset",,,Pitt Rivers Museum,"England,Kent",,,,,,England,Kent,"Kent, UK",51.20707485,0.721036181340144,,NA,NA,NA,97,39,50,142,Dull green,Smooth,40,Weight: 141.75 gms,,,,,,Joellen McGann,https://farm4.staticflickr.com/3933/15597336461_895f189979_q.jpg,https://farm4.staticflickr.com/3933/15597336461_895f189979_b.jpg,https://www.flickr.com/photos/MicroPasts/15597336461,superuser,drawerA5A6
BAI-29218,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,OII3,"Devizes Museum,Stourhead Collection, 309",309,,Devizes Museum,"Unknown,?Wiltshire",,,,,,England,Wiltshire,"Wiltshire, UK",51.2463,-1.9922,,NA,NA,NA,134,46,60,453,,,39,Weight: 14 1/2oz = 453 gms [?=411.07 gms],,,"Socketed, looped; 4 lines in relief on one side, 3 on the other.","Devizes Museum Catalogue, Pt. I, 309",Stolen?,Joellen McGann,https://farm8.staticflickr.com/7518/16106233560_2c6da3313c_q.jpg,https://farm8.staticflickr.com/7518/16106233560_2c6da3313c_b.jpg,https://www.flickr.com/photos/MicroPasts/16106233560,superuser,devizes
BAI-21785,433,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,NI3,"Ashmolean Museum, Oxford,1836-1868, p. 9. Hutchins,Given by Rev. A. B. Hutchins, 1845",1836.1868,,Ashmolean Museum,"No provenance,? Wiltshire",,,,,,England,Wiltshire,"Wiltshire, UK",51.2463,-1.9922,,NA,NA,NA,97,,56,279,,,45,Weight: 278.61 gms,,,"3 vertical ribs on each wide face, medium collar; Dull green patina, good condition except small notch on edge. Trace of jet on rim.",,,Joellen McGann,https://farm6.staticflickr.com/5610/15597655351_2ec2fce127_q.jpg,https://farm6.staticflickr.com/5610/15597655351_2ec2fce127_b.jpg,https://www.flickr.com/photos/MicroPasts/15597655351,superuser,drawerA5A6
BAI-21283,433,Socketed Celt,Breton Type,,NA,Bronze Age,p0gjgrs6qb2,T2,"Private Collection,Mr. J. Kinross,Riding Court, Slough (1930)",,,Private Collection,"England,?Surrey,(said to have been found in)",,,,,,England,Surrey,"Surrey, UK",51.2715316,-0.341452351129091,,NA,NA,NA,130,31,35,,,,,,,,,,,Joellen McGann,https://farm6.staticflickr.com/5609/14980067133_b83937c549_q.jpg,https://farm6.staticflickr.com/5609/14980067133_b83937c549_b.jpg,https://www.flickr.com/photos/MicroPasts/14980067133,only good record,drawerA5A6
BAI-29987,817,Socketed Celt,,,NA,Bronze Age,p0gjgrs6qb2,A 3,"British Museum.,67.12-18.16",1867.12-18.16,,British Museum,"England,Surrey,,In Thames,near Thames Ditton",,,river,,,England,Surrey,"Thames Ditton, Surrey, UK",51.389182,-0.3290769,"THAMES.,TQ 16,67",NA,NA,NA,105,29,,145,golden.,corroded.,23,"Width shows ""Butt. 24mm,  Blade. 22mm"".",Bronze,,"square section, surface encrusted. marks of casting.",,"On display,It is possible that this celt may have been found near Ditton in the parish of Stoke [...] [...],C1",JP OConnor,https://farm8.staticflickr.com/7300/16441725645_0d817cffc3_q.jpg,https://farm8.staticflickr.com/7300/16441725645_0d817cffc3_b.jpg,https://www.flickr.com/photos/MicroPasts/16441725645,most detailed record,singleA18
BAI-20099,64,Socketed Celt,,Fragment,NA,Bronze Age,p0gjgrs6qb2,II-frag,"National Museum of Wales,Cardiff,34.637/12",34.637/12,,National Museum of Wales,"Wales,Glamorgan,Llantwit Major,The Hayes,In possession of F.C. Price Esq J.P. at this address",,,,,,Wales,Vale Of Glamorgan,"Llantwit Major, Vale Of Glamorgan, UK",51.4083212,-3.4857779,,NA,NA,NA,54,"edge 55, where broken 44",,,green,rough,14,,,One of a hoard of 16 pieces,,"Arch. Cambrensis 1887, p151",,Hugh Fiske,https://farm6.staticflickr.com/5607/15599712775_a72fac16d5_q.jpg,https://farm6.staticflickr.com/5607/15599712775_a72fac16d5_b.jpg,https://www.flickr.com/photos/MicroPasts/15599712775,superuser,drawerA5A6
BAI-20098,64,Socketed Celt,,Fragment,NA,Bronze Age,p0gjgrs6qb2,EI-frag,"National Museum of Wales,Cardiff,34.637/11",34.637/11,,National Museum of Wales,"Wales,Glamorgan,Llantwit Major,The Hayes,In possession of F.C. Price Esq J.P. at this address",,,,,,Wales,Vale Of Glamorgan,"Llantwit Major, Vale Of Glamorgan, UK",51.4083212,-3.4857779,,NA,NA,NA,43,"edge 53, at fracture 41",,,green,rough,13,,,One of a hoard of 16 pieces,,"Arch. Cambrensis 1887, p151",,Hugh Fiske,https://farm4.staticflickr.com/3933/15413608378_488d3d4916_q.jpg,https://farm4.staticflickr.com/3933/15413608378_488d3d4916_b.jpg,https://www.flickr.com/photos/MicroPasts/15413608378,superuser,drawerA5A6
BAI-20097,580,Socketed Celt,,Fragment,NA,Bronze Age,p0gjgrs6qb2,-3frag,"National Museum of Wales, Cardiff., 34.637/10",34.637/10,,National Museum of Wales,"Wales, Glamorgan, Llantwit Major, The Hayes, In possession of F.C. Price Esq. J.P. at this address",,,,,,Wales,Vale Of Glamorgan,"Llantwit Major, Vale Of Glamorgan, United Kingdom",51.4083212,-3.4857779,,NA,NA,NA,56,23,,,green,rough,,,,One of hoard of 16 pieces.,,Arch. Cambrensis 1887. p. 151.,,Denis Antoine,https://farm6.staticflickr.com/5610/14979557223_8ee9fb752c_q.jpg,https://farm6.staticflickr.com/5610/14979557223_8ee9fb752c_b.jpg,https://www.flickr.com/photos/MicroPasts/14979557223,superuser,drawerA5A6
