objectID,userID,objectType,classification,completeness,quantity,broadperiod,periodo,rightCorner,collection,museumID,collectionIdentifier,museumCollection,site,stolenStatus,hoard,discoveryContext,parish,district,country,county,toSearch,fourFigureLat,fourFigureLon,gridRef,dateDiscoveryDay,dateDiscoveryMonth,dateDiscoveryYear,length,width,edge,weight,patina,surface,thickness,other,composition,associations,description,publications,remarks,inputBy,thumbnail,imageURL,flickrURL,Processing,project
BAI-39024,433,Pin,,,NA,Bronze Age,p0gjgrs6qb2,,"Private Collection,F. Ransom Esq., Hitchin",,,Private Collection,,,,,,,,,,NA,NA,,NA,NA,NA,208,"4.5 where decorated, head 8.5 x 9",,17.71,No patina.,Smooth. Dark brassy golden bronze colour.,3,,,,Look as if it has been cleaned with acid.,,,Joellen McGann,https://farm8.staticflickr.com/7660/17748138288_f903c235ca_q.jpg,https://farm8.staticflickr.com/7660/17748138288_f903c235ca_b.jpg,https://www.flickr.com/photos/115096994@N02/17748138288,superuser,ForeignUnprov
BAI-39023,433,Pin,,,NA,Bronze Age,p0gjgrs6qb2,,"Private Collection,F. Ransom Esq., Hitchin",,,Private Collection,,,,,,,,,,NA,NA,,NA,NA,NA,136.5,head 15.5 x 16,,15.91,No patina,"Smooth, a dark bronze colour.",4,,,,"There are 4 holes in head, ringed with 3 lines + 4 at the top (without a hole).",,,Joellen McGann,https://farm8.staticflickr.com/7724/17935842981_f262e7e483_q.jpg,https://farm8.staticflickr.com/7724/17935842981_f262e7e483_b.jpg,https://www.flickr.com/photos/115096994@N02/17935842981,superuser,ForeignUnprov
BAI-39022,433,Pin,,,NA,Bronze Age,p0gjgrs6qb2,,"Private Collection,F. Ransom Esq., Hitchin",,,Private Collection,,,,,,,,,,NA,NA,,NA,NA,NA,131,head 15.25 x 15,,24.8,No patina,Smooth. Dull golden bronze colour,pin nearly 4,,,,,,,Joellen McGann,https://farm9.staticflickr.com/8870/17935797445_1fd05f24a3_q.jpg,https://farm9.staticflickr.com/8870/17935797445_1fd05f24a3_b.jpg,https://www.flickr.com/photos/115096994@N02/17935797445,superuser,ForeignUnprov
BAI-27569,433,Pin,,,NA,Bronze Age,p0gjgrs6qb2,H,"Guille Alles Museum, Guernsey,Gaudion Collection",,,Guille Alles Museum,"Channel Islands,Alderney,Longy (Longis) Common,1832",,,,,,Channel Islands,,"Longis Common, Guernsey",NA,NA,,NA,NA,1832,22,,,,Green and brown with dark yellow shiny metal showing.,Crusted: very thickly here and there,6.5,Thickness: head 6.5mm; 7mm,,Hoard,,,,Joellen McGann,https://farm8.staticflickr.com/7579/15936403341_6a0b8fc6d3_q.jpg,https://farm8.staticflickr.com/7579/15936403341_6a0b8fc6d3_b.jpg,https://www.flickr.com/photos/MicroPasts/15936403341,superuser,ornamentsA15
BAI-30101,734,Pin,PIN with DOUBLE-SPIRAL HEAD,,NA,Bronze Age,p0gjgrs6qb2,RED DOT,B.M.    1944  7-2   3-4,"1944,702,3",,British Museum,DORSET,,,,,,England,Dorset,,NA,NA,,NA,NA,NA,,,,,,,,"No illustrration., Very sparse notations.",,,,,"LOWER RIGHT CORNER  [in pencil]:,    C 1",Marilyn Kohn,https://farm9.staticflickr.com/8616/16439957821_7bd8f32886_q.jpg,https://farm9.staticflickr.com/8616/16439957821_7bd8f32886_b.jpg,https://www.flickr.com/photos/MicroPasts/16439957821,most detailed record,singleA18
BAI-30094,734,PIN,,,NA,Bronze Age,p0gjgrs6qb2,"25,  BLACK SQUARE.     F, [notations are in pencil]",[check-mark in pencil]  British Museum.  50.7-25.4,"1850,7-25.4",,British Museum,"GREATER LONDON,  In Thames at Wandsworth,  Dredged from the THAMES opposite the mouth of the Wande: i.e. in Wandsworth Reach just above Wandsworth Bridge, 1854.",,,"river,dredged",,Wandsworth,England,Greater London,,NA,NA,TQ    25     74,NA,NA,1854,197.5,"Head, 16; neck above swellling, 5.5; swelling, 8; shankd 4.5/5; tip, 2.5",,,,Somewhat corrode but fairlly heavy and even.,,"Beautiful, detailed, 2-part hand drawing,showing engraving., Site information written over white-out label., At least 3 different kinds of handwriting and ink/pencil.,  ,",,"At sametime (Arch J. ix, 7-8) were dredged up a leafshaped sword-blade (Evans, 382), socketed (crv) spearhead (in 31o6), and palstave;  it was thin, and afterward by Evans (loc cit. & list, 465, no. 26), assumed that this was a hoard, but G. F. Lawrence has shown (Arch.J. lxxxvi (1939), 90-1) what a variety of objects have been dredged up at this place, and Reginald Smith was certainly right (Guide, loc cit) to disregard this claim to association.",Horizontal perforation through swollen neck:  engraved ornament.,"Archaeological Journal ix, 7-8; Evans, Anct. Bze Impts, 368m Fug, 454l  B.M. Bronze Age Guide (1920), 56-7, Fig. 48 top;*  Proc. Prehist. Soc. 1942, p 28,* fig. 2,5., *Shown here with tip straightened.,  actually it is still cuved as in Arch. J. ix and Evans.","LOWER LEFT COLUMN:, 'Picardy' type:, [in pencil]:,  BOTTOM OF CENTER COLUMN:,    OK, but now broken, LOWER RIGHT CORNER:,  C  1",Marilyn Kohn,https://farm8.staticflickr.com/7394/16441730245_b76f5d57d0_q.jpg,https://farm8.staticflickr.com/7394/16441730245_b76f5d57d0_b.jpg,https://www.flickr.com/photos/MicroPasts/16441730245,most detailed record,singleA18
BAI-29163,433,Pin,Plate headed,,NA,Bronze Age,p0gjgrs6qb2,A,"Devizes Museum, X48",X48,,Devizes Museum,"England,Wiltshire,Bromham Paris,Roundway Down,In barrow on Roundway Down,Barrow 2,1855",,,barrow,Bromham Paris,,England,Wiltshire,"Bromham, Chippenham, Wiltshire Sn15, UK",52.1451088,-0.5339894,,NA,NA,1855,53,15,,5,,,,Weight: 1/6 oz. = 5 gms [4.82 gms],Copper?,"With Bell Beaker and copper tanged dagger, stone bracelet, barb & tang flint arrowhead, etc. in a barrow.",GC 59; DM 444,"Archaeologia, XLII, 457, fig. 160.,Wilts. Arch Mag. Vol. XXXVII, 97,Wilts Arch Mag, Vol. XXXVIII, 315 (8),Catalogue Devizes Museum, Pt. II, 17, B X48,Catalogue Devizes Museum Pt. II, 2nd edition, page 23,Cat. Devizes Museum, 1964, p. 38, No. 59",,Joellen McGann,https://farm8.staticflickr.com/7470/16267660026_3acfaa5a02_q.jpg,https://farm8.staticflickr.com/7470/16267660026_3acfaa5a02_b.jpg,https://www.flickr.com/photos/MicroPasts/16267660026,superuser,devizes
BAI-31192,580,Socketed Sickle,,,NA,Bronze Age,p0gjgrs6qb2,"Fox I, var.",BM 62. 12-9. 3.,1862. 12-9. 3.,,British Museum,"Ireland, Co. Westmeath, Athlone",,,,Athlone,,Ireland,County Westmeath,"Athlone, Co. Westmeath, Ireland",53.4271316,-7.9359608,,NA,NA,NA,,,,,,,,,,,Continuously rounded blade.,"Fox, PPS II (1939), 245 no. 34.",,Denis Antoine,https://farm9.staticflickr.com/8579/16475901609_bfe0e016ce_q.jpg,https://farm9.staticflickr.com/8579/16475901609_bfe0e016ce_b.jpg,https://www.flickr.com/photos/MicroPasts/16475901609,superuser,irishB10
BAI-31191,580,Socketed Sickle,,,NA,Bronze Age,p0gjgrs6qb2,,"London, British Museum, 62 12-9 3",1862 12-9 3,,British Museum,"Ireland, Co. Westmeath, Athlone",,,,Athlone,,Ireland,County Westmeath,"Athlone, Co. Westmeath, Ireland",53.4271316,-7.9359608,,NA,NA,NA,158,27,,,,,,,,,,,KW,Denis Antoine,https://farm9.staticflickr.com/8635/16660659281_d41c5687bf_q.jpg,https://farm9.staticflickr.com/8635/16660659281_d41c5687bf_b.jpg,https://www.flickr.com/photos/MicroPasts/16660659281,superuser,irishB10
BAI-31185,580,Socketed Sickle,,,NA,Bronze Age,p0gjgrs6qb2,,"London, British Museum, 43, 12-26, 5.","1843, 12-26, 5.",,British Museum,"Ireland, Co. Tyrone, Ballygawley",,,,Ballygawley,,Ireland,County Tyrone,"Ballygawley, Dungannon, Dungannon And South Tyrone Bt70, United Kingdom",54.46274,-7.028188,,NA,NA,NA,120,,,,,,,,,,,,,Denis Antoine,https://farm9.staticflickr.com/8661/16039740734_d47e948930_q.jpg,https://farm9.staticflickr.com/8661/16039740734_d47e948930_b.jpg,https://www.flickr.com/photos/MicroPasts/16039740734,superuser,irishB10
